[[0, 1], [2, 3], [4, 5], [6, 13], [7, 8], [9, 14], [10, 17], [11, 16], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 17], [9, 14], [10, 13], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 8], [9, 14], [10, 13], [11, 16], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 12], [8, 17], [9, 14], [10, 11], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 8], [9, 14], [10, 15], [11, 16], [12, 13]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 11], [10, 13], [12, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 8], [9, 16], [10, 13], [12, 17], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 13], [10, 11], [12, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 8], [9, 16], [10, 17], [12, 13], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 8], [9, 16], [10, 15], [12, 17], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 8], [9, 16], [10, 17], [12, 15], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 11], [10, 17], [12, 13], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 14], [8, 9], [10, 17], [12, 13], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 17], [10, 11], [12, 13], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 8], [9, 16], [10, 11], [12, 13], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 14], [8, 17], [9, 10], [12, 13], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 8], [9, 16], [10, 11], [12, 15], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 13], [10, 17], [11, 12], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 8], [9, 16], [10, 17], [11, 12], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 14], [8, 17], [10, 13], [11, 12], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 8], [9, 16], [10, 13], [11, 12], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 14], [8, 17], [9, 10], [11, 12], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 8], [9, 16], [10, 15], [11, 12], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 14], [8, 13], [9, 12], [10, 17], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 8], [9, 16], [10, 17], [11, 14], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 14], [8, 17], [9, 12], [10, 13], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 8], [9, 16], [10, 13], [11, 14], [12, 15]]
[[0, 1], [2, 3], [4, 5], [6, 13], [7, 14], [8, 17], [9, 12], [10, 11], [15, 16]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 8], [9, 16], [10, 15], [11, 14], [12, 13]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 11], [12, 15], [13, 16], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 11], [12, 17], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 15], [11, 12], [13, 16], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 17], [11, 12], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 15], [11, 14], [12, 17], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 17], [11, 14], [12, 15], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 13], [11, 16], [12, 15], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 13], [11, 16], [12, 17], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 15], [11, 16], [12, 13], [14, 17]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 17], [11, 16], [12, 13], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 15], [11, 16], [12, 17], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 10], [8, 17], [11, 16], [12, 15], [13, 14]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 10], [8, 9], [12, 17], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 9], [11, 12], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 10], [8, 17], [9, 12], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 9], [11, 14], [12, 15], [13, 16]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 12], [8, 11], [10, 17], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 11], [7, 12], [8, 9], [10, 17], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 9], [7, 12], [8, 17], [10, 11], [13, 16], [14, 15]]
[[0, 1], [2, 3], [4, 5], [6, 17], [7, 10], [8, 9], [11, 16], [12, 13], [14, 15]]
